flag_id,transaction_id,flag_type,flag_reason,flagged_at
FLAG00052,TXN0002074,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00053,TXN0002085,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00054,TXN0002115,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00055,TXN0002117,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00056,TXN0002156,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00057,TXN0002200,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00058,TXN0002235,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00059,TXN0002246,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00060,TXN0002263,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00061,TXN0002281,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00062,TXN0002306,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00063,TXN0002317,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00064,TXN0002379,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00065,TXN0002402,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00066,TXN0002404,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00067,TXN0002444,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00068,TXN0002446,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00069,TXN0002457,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00070,TXN0002497,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00071,TXN0002531,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00072,TXN0002578,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00073,TXN0002595,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00074,TXN0002630,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00075,TXN0002656,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00076,TXN0002704,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00077,TXN0002715,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00078,TXN0002732,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00079,TXN0002782,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00080,TXN0002825,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00081,TXN0002843,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00082,TXN0002847,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00083,TXN0002943,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00084,TXN0002990,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00085,TXN0003012,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00086,TXN0003112,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00087,TXN0003186,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00088,TXN0003193,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00089,TXN0003256,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00090,TXN0003267,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00091,TXN0003291,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00092,TXN0003294,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00093,TXN0003303,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00094,TXN0003325,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00095,TXN0003371,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00096,TXN0003374,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00097,TXN0003386,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00098,TXN0003403,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00099,TXN0003572,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00100,TXN0003599,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00101,TXN0003747,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00102,TXN0003778,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00103,TXN0003823,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00104,TXN0003842,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00105,TXN0003845,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00106,TXN0003868,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00107,TXN0003889,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00108,TXN0003909,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00109,TXN0003910,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00110,TXN0003964,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00111,TXN0004098,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00112,TXN0004127,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00113,TXN0004187,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00114,TXN0004199,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00115,TXN0004273,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00116,TXN0004287,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00117,TXN0004308,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00118,TXN0004382,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00119,TXN0004414,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00120,TXN0004437,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00121,TXN0004438,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00122,TXN0004439,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00123,TXN0004544,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00124,TXN0004577,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00125,TXN0004581,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00126,TXN0004582,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00127,TXN0004606,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00128,TXN0004669,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00129,TXN0004691,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00130,TXN0004757,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00131,TXN0004758,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00132,TXN0004832,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00133,TXN0004834,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00134,TXN0004889,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00135,TXN0004907,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00136,TXN0004999,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00137,TXN0005000,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00138,TXN0005001,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00139,TXN0005007,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00140,TXN0005009,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00141,TXN0005061,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00142,TXN0005076,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00143,TXN0005111,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00144,TXN0005183,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00145,TXN0005205,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00146,TXN0005222,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00147,TXN0005267,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00148,TXN0005297,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00149,TXN0005321,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00150,TXN0005341,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00151,TXN0005359,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00152,TXN0005377,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00153,TXN0005380,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00154,TXN0005415,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00155,TXN0005419,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00156,TXN0005453,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00157,TXN0005471,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00158,TXN0005477,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00159,TXN0005510,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00160,TXN0005516,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00161,TXN0005535,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00162,TXN0005604,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00163,TXN0005719,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00164,TXN0005763,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00165,TXN0005786,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00166,TXN0005803,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00167,TXN0005843,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00168,TXN0005856,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00169,TXN0005914,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00170,TXN0005918,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00171,TXN0005922,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00172,TXN0005939,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00173,TXN0006002,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00174,TXN0006003,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00175,TXN0006030,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00176,TXN0006079,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00177,TXN0006134,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00178,TXN0006139,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00179,TXN0006140,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00180,TXN0006181,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00181,TXN0006217,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00182,TXN0006304,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00183,TXN0006353,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00184,TXN0006434,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00185,TXN0006462,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00186,TXN0006479,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00187,TXN0006559,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00188,TXN0006563,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00189,TXN0006624,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00190,TXN0006665,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00191,TXN0006726,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00192,TXN0006802,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00193,TXN0006810,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00194,TXN0006855,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00195,TXN0006873,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00196,TXN0006880,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00197,TXN0006884,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00198,TXN0006898,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00199,TXN0006922,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00200,TXN0006947,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00201,TXN0007006,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00202,TXN0007018,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00203,TXN0007098,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00204,TXN0007109,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00205,TXN0007178,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00206,TXN0007198,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00207,TXN0007220,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00208,TXN0007221,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00209,TXN0007251,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00210,TXN0007477,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00211,TXN0007482,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00212,TXN0007487,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00213,TXN0007494,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00214,TXN0007546,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00215,TXN0007594,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00216,TXN0007599,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00217,TXN0007614,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00218,TXN0007657,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00219,TXN0007686,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00220,TXN0007785,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00221,TXN0007818,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00222,TXN0007820,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00223,TXN0007850,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00224,TXN0007864,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00225,TXN0007884,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00226,TXN0007949,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00227,TXN0007962,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00228,TXN0007971,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00229,TXN0007991,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00230,TXN0008082,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00231,TXN0008116,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00232,TXN0008135,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00233,TXN0008143,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00234,TXN0008159,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00235,TXN0008187,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00236,TXN0008403,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00237,TXN0008414,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00238,TXN0008469,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00239,TXN0008475,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00240,TXN0008487,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00241,TXN0008505,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00242,TXN0008514,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00243,TXN0008519,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00244,TXN0008527,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00245,TXN0008561,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00246,TXN0008638,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00247,TXN0008643,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00248,TXN0008677,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00249,TXN0008699,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00250,TXN0008719,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00251,TXN0008730,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00252,TXN0008746,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00253,TXN0008762,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00254,TXN0008763,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00255,TXN0008810,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00256,TXN0008851,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00257,TXN0008878,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00258,TXN0008888,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00259,TXN0008897,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00260,TXN0008932,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00261,TXN0008969,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00262,TXN0009130,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00263,TXN0009146,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00264,TXN0009160,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00265,TXN0009224,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00266,TXN0009247,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00267,TXN0009292,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00268,TXN0009294,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00269,TXN0009358,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00270,TXN0009379,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00271,TXN0009437,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00272,TXN0009458,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00273,TXN0009462,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00274,TXN0009474,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00275,TXN0009489,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00276,TXN0009541,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00277,TXN0009554,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00278,TXN0009563,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
