account_id,customer_id,account_type,currency,balance,opened_date
ACC00081,CUST0049,checking,AZN,43402.7,2006-07-07
ACC00082,CUST0050,checking,USD,56819.01,2005-07-19
ACC00083,CUST0050,savings,AZN,42829.93,2010-02-27
ACC00084,CUST0051,checking,AZN,82853.06,2011-05-11
ACC00085,CUST0051,savings,USD,63972.74,2021-08-20
ACC00086,CUST0052,savings,AZN,74398.87,2021-07-06
ACC00087,CUST0052,savings,USD,51490.13,2023-08-25
ACC00088,CUST0053,savings,AZN,41783.93,2025-11-05
ACC00089,CUST0053,savings,AZN,75866.86,1981-09-19
ACC00090,CUST0054,savings,AZN,34419.19,2022-05-29
ACC00091,CUST0055,checking,AZN,27356.54,1982-04-06
ACC00092,CUST0055,checking,AZN,15184.75,2008-11-06
ACC00093,CUST0056,savings,AZN,72205.05,2016-09-08
ACC00094,CUST0057,savings,USD,71432.74,2006-08-06
ACC00095,CUST0058,checking,EUR,70504.79,2001-09-05
ACC00096,CUST0059,savings,AZN,72591.77,2019-07-07
ACC00097,CUST0059,checking,EUR,4377.47,2015-02-04
ACC00098,CUST0060,savings,EUR,93503.65,2021-03-10
ACC00099,CUST0060,savings,USD,55055.71,2014-04-09
ACC00100,CUST0061,checking,AZN,11635.93,2021-09-10
ACC00101,CUST0061,savings,USD,45603.93,2005-10-19
ACC00102,CUST0062,savings,AZN,5493.9,2016-06-22
ACC00103,CUST0062,savings,AZN,81227.81,2010-02-07
ACC00104,CUST0063,savings,EUR,22113.77,1993-04-22
ACC00105,CUST0063,checking,AZN,20632.35,1991-01-11
ACC00106,CUST0064,checking,AZN,64813.83,2016-12-19
ACC00107,CUST0064,checking,AZN,33723.09,2012-10-06
ACC00108,CUST0065,checking,AZN,22552.66,2002-07-23
ACC00109,CUST0066,savings,USD,70449.5,2017-09-01
ACC00110,CUST0067,checking,USD,111.02,2000-05-21
ACC00111,CUST0067,savings,USD,4144.45,2014-08-03
ACC00112,CUST0068,savings,USD,45264.3,2022-02-16
ACC00113,CUST0068,checking,AZN,2324.17,2006-04-17
ACC00114,CUST0069,savings,AZN,2939.76,2020-04-12
ACC00115,CUST0070,checking,USD,21973.17,1992-09-12
ACC00116,CUST0071,savings,USD,38980.69,2023-10-13
ACC00117,CUST0072,checking,AZN,4425.16,2024-12-30
ACC00118,CUST0072,checking,AZN,15606.18,2019-03-02
ACC00119,CUST0073,savings,EUR,76316.63,2016-12-18
ACC00120,CUST0074,checking,AZN,27386.09,2016-01-06
ACC00121,CUST0075,savings,AZN,23307.98,2002-06-16
ACC00122,CUST0076,savings,AZN,34682.01,1996-06-27
ACC00123,CUST0076,checking,USD,84745.03,2021-06-17
ACC00124,CUST0077,savings,AZN,66833.24,2022-02-08
ACC00125,CUST0077,checking,AZN,16877.46,2024-07-01
ACC00126,CUST0078,checking,EUR,46099.79,2011-02-27
ACC00127,CUST0078,savings,AZN,16288.3,2025-05-10
ACC00128,CUST0079,checking,AZN,57879.44,1999-01-22
ACC00129,CUST0079,checking,EUR,94110.58,2001-03-05
ACC00130,CUST0080,checking,USD,58762.07,2010-01-27
ACC00131,CUST0080,savings,AZN,21558.17,2021-12-21
ACC00132,CUST0081,checking,EUR,69261.12,2015-08-20
ACC00133,CUST0081,checking,AZN,50249.69,2011-03-28
ACC00134,CUST0082,savings,AZN,33911.27,2023-12-28
ACC00135,CUST0082,checking,AZN,51876.12,1996-11-25
ACC00136,CUST0082,savings,AZN,11285.3,2020-07-21
ACC00137,CUST0083,savings,USD,67700.92,2020-11-13
ACC00138,CUST0083,savings,USD,7110.79,2023-12-18
ACC00139,CUST0084,checking,USD,56933.38,2010-12-26
ACC00140,CUST0084,savings,AZN,6152.75,2024-01-29
ACC00141,CUST0085,checking,EUR,6690.0,2018-10-18
ACC00142,CUST0085,checking,USD,16114.85,2005-03-11
ACC00143,CUST0086,checking,AZN,68296.41,2024-07-14
ACC00144,CUST0086,checking,AZN,83650.17,2016-06-15
ACC00145,CUST0087,checking,AZN,91131.19,2023-09-27
ACC00146,CUST0088,checking,AZN,79095.36,2025-06-06
ACC00147,CUST0088,savings,USD,87998.99,2007-01-23
ACC00148,CUST0089,checking,USD,62032.25,1994-08-12
ACC00149,CUST0089,checking,AZN,35656.97,2011-04-19
ACC00150,CUST0090,savings,AZN,37726.26,2021-11-07
ACC00151,CUST0090,savings,AZN,8288.71,1987-08-01
ACC00152,CUST0091,checking,EUR,73144.09,2023-07-21
ACC00153,CUST0091,savings,AZN,19323.8,2023-10-22
ACC00154,CUST0092,savings,EUR,70144.73,1986-08-30
ACC00155,CUST0092,savings,USD,93738.87,1994-05-01
ACC00156,CUST0093,checking,AZN,61552.13,2009-02-28
ACC00157,CUST0093,savings,USD,88194.36,2001-04-16
ACC00158,CUST0094,savings,EUR,27109.63,2011-10-18
ACC00159,CUST0094,savings,USD,27737.12,1992-09-11
ACC00160,CUST0095,savings,USD,27990.39,2024-10-12
ACC00161,CUST0096,savings,AZN,88251.82,2012-04-16
ACC00162,CUST0097,savings,AZN,56624.22,2020-11-28
ACC00163,CUST0097,savings,AZN,70655.49,2019-02-15
ACC00164,CUST0098,checking,AZN,97875.18,1999-07-05
ACC00165,CUST0099,checking,AZN,56979.92,2005-09-25
ACC00166,CUST0100,checking,AZN,97487.16,2012-03-03
ACC00167,CUST0101,checking,AZN,17235.12,2023-12-10
ACC00168,CUST0101,checking,AZN,60375.7,1987-06-01
ACC00169,CUST0101,savings,USD,41958.24,1999-04-02
ACC00170,CUST0102,checking,AZN,48728.82,2014-08-21
ACC00171,CUST0103,savings,AZN,14102.24,1998-02-05
ACC00172,CUST0104,savings,USD,77808.97,2000-11-24
ACC00173,CUST0104,savings,USD,20430.54,1998-09-28
ACC00174,CUST0105,checking,AZN,26074.06,2024-02-09
ACC00175,CUST0106,savings,USD,46796.67,2004-12-05
ACC00176,CUST0106,savings,AZN,50441.76,2021-02-19
ACC00177,CUST0107,checking,AZN,99179.09,2018-05-16
ACC00178,CUST0108,savings,AZN,18121.69,2022-06-25
ACC00179,CUST0109,savings,USD,97962.66,2018-08-14
ACC00180,CUST0109,checking,AZN,12194.44,2015-07-05
ACC00181,CUST0110,savings,EUR,58741.74,2010-09-22
ACC00182,CUST0110,checking,AZN,33239.97,2002-04-14
ACC00183,CUST0111,checking,AZN,24026.13,2012-01-14
ACC00184,CUST0112,savings,AZN,89794.27,2017-01-08
ACC00185,CUST0113,checking,AZN,88310.39,2007-02-04
ACC00186,CUST0113,savings,USD,56633.83,2005-09-08
ACC00187,CUST0114,savings,USD,12932.88,2023-04-15
ACC00188,CUST0115,savings,AZN,63904.19,2021-01-03
ACC00189,CUST0115,checking,EUR,17110.07,2008-05-17
ACC00190,CUST0116,checking,USD,72682.67,2025-09-07
ACC00191,CUST0117,savings,AZN,50689.39,2004-05-31
ACC00192,CUST0117,checking,AZN,53183.02,1992-11-24
ACC00193,CUST0118,checking,AZN,11330.78,2011-07-06
ACC00194,CUST0119,checking,USD,86521.9,1992-09-26
ACC00195,CUST0120,checking,AZN,28923.33,2015-09-25
ACC00196,CUST0120,savings,AZN,26412.05,1987-09-26
ACC00197,CUST0120,savings,USD,94826.81,1997-01-10
ACC00198,CUST0121,savings,AZN,99903.82,2016-07-13
ACC00199,CUST0121,checking,AZN,58335.3,2016-06-16
ACC00200,CUST0122,savings,AZN,8161.49,2021-02-28
ACC00201,CUST0122,checking,AZN,50050.74,2021-12-06
ACC00202,CUST0123,savings,AZN,62561.99,2018-11-02
ACC00203,CUST0123,checking,USD,80644.93,2019-08-25
ACC00204,CUST0124,savings,AZN,24960.67,2022-03-02
ACC00205,CUST0125,savings,AZN,69558.17,2019-03-03
ACC00206,CUST0125,savings,AZN,18245.18,2017-06-18
ACC00207,CUST0126,checking,AZN,84548.89,2010-03-12
ACC00208,CUST0126,checking,AZN,41357.61,2020-08-15
ACC00209,CUST0126,savings,AZN,50953.51,2024-12-19
ACC00210,CUST0127,checking,USD,78761.1,2014-09-06
ACC00211,CUST0128,savings,AZN,9052.5,2025-09-17
ACC00212,CUST0128,checking,USD,86283.66,2013-11-06
ACC00213,CUST0129,checking,AZN,88272.3,2014-01-25
ACC00214,CUST0130,savings,USD,71609.04,1994-07-04
ACC00215,CUST0131,checking,AZN,92260.12,2003-04-27
ACC00216,CUST0132,checking,USD,21985.01,2017-06-13
ACC00217,CUST0132,checking,AZN,9080.54,2025-07-12
ACC00218,CUST0133,checking,AZN,35301.07,2004-07-02
ACC00219,CUST0133,savings,AZN,17854.41,2003-09-05
ACC00220,CUST0134,checking,AZN,91933.26,2008-03-12
ACC00221,CUST0134,checking,USD,63956.93,2017-10-09
ACC00222,CUST0135,checking,AZN,61404.28,2008-03-12
ACC00223,CUST0136,savings,AZN,79260.46,2006-06-30
ACC00224,CUST0136,savings,AZN,79635.12,2017-03-10
ACC00225,CUST0137,checking,AZN,10135.04,2025-02-05
ACC00226,CUST0137,checking,AZN,24236.51,2007-06-01
ACC00227,CUST0138,checking,USD,63066.28,1994-02-17
ACC00228,CUST0138,checking,AZN,22300.1,1998-01-12
ACC00229,CUST0139,savings,EUR,95030.83,2007-06-29
ACC00230,CUST0139,checking,AZN,51633.21,1990-11-24
ACC00231,CUST0140,checking,AZN,99485.12,2006-08-17
ACC00232,CUST0140,checking,USD,35182.53,2001-06-30
ACC00233,CUST0140,savings,EUR,33242.39,2015-04-21
ACC00234,CUST0141,checking,AZN,17607.49,2020-07-07
ACC00235,CUST0141,savings,AZN,65605.47,2010-09-21
ACC00236,CUST0142,checking,AZN,28578.64,2025-01-23
ACC00237,CUST0142,checking,AZN,41190.39,2024-07-28
ACC00238,CUST0142,checking,AZN,96424.74,2022-06-19
ACC00239,CUST0143,savings,USD,74233.65,2023-09-08
ACC00240,CUST0144,checking,AZN,70692.22,2010-03-26
ACC00241,CUST0144,savings,AZN,60680.77,2021-02-12
ACC00242,CUST0145,checking,AZN,42964.98,2009-06-02
ACC00243,CUST0146,checking,EUR,97692.19,2013-01-07
ACC00244,CUST0147,savings,AZN,29861.1,1993-02-12
ACC00245,CUST0147,checking,AZN,81969.91,2009-06-14
ACC00246,CUST0148,checking,AZN,82838.34,2025-11-13
ACC00247,CUST0148,savings,AZN,37327.75,2024-11-27
ACC00248,CUST0148,checking,USD,99117.89,2018-04-18
ACC00249,CUST0149,savings,EUR,96540.32,1998-11-16
ACC00250,CUST0149,savings,EUR,99575.66,2024-09-25
ACC00251,CUST0149,checking,USD,58264.72,2023-05-27
ACC00252,CUST0150,savings,AZN,61129.13,2018-06-12
ACC00253,CUST0150,checking,AZN,77603.98,2014-05-09
ACC00254,CUST0151,savings,AZN,37740.67,2010-04-15
ACC00255,CUST0152,savings,USD,90821.43,1990-07-27
ACC00256,CUST0153,checking,USD,42678.95,2024-11-11
ACC00257,CUST0153,savings,AZN,91120.61,2025-06-17
ACC00258,CUST0153,savings,EUR,88265.06,2025-10-15
ACC00259,CUST0154,checking,USD,78333.29,2019-10-23
ACC00260,CUST0154,checking,USD,41941.91,1993-12-07
ACC00261,CUST0154,checking,EUR,22955.64,2008-04-21
ACC00262,CUST0155,savings,AZN,62148.18,2012-07-13
ACC00263,CUST0156,savings,AZN,55853.51,2014-11-25
ACC00264,CUST0157,savings,EUR,24877.22,1997-07-11
ACC00265,CUST0158,savings,USD,34276.98,2024-07-18
ACC00266,CUST0158,checking,AZN,41876.68,2021-12-18
ACC00267,CUST0159,savings,AZN,41216.25,2010-06-15
ACC00268,CUST0159,savings,USD,49688.95,2001-10-19
ACC00269,CUST0159,savings,AZN,87480.62,2007-01-09
ACC00270,CUST0160,savings,AZN,75969.56,2009-10-19
ACC00271,CUST0161,savings,EUR,22753.09,1991-02-09
ACC00272,CUST0162,savings,EUR,49198.07,2016-03-26
ACC00273,CUST0162,checking,USD,50670.97,2013-11-10
ACC00274,CUST0163,checking,AZN,17348.21,1980-03-01
ACC00275,CUST0163,savings,AZN,74784.15,2005-04-04
ACC00276,CUST0164,savings,AZN,20516.52,2025-02-10
ACC00277,CUST0165,savings,AZN,14941.42,2024-01-20
ACC00278,CUST0166,checking,USD,29594.15,2015-06-26
ACC00279,CUST0167,checking,USD,93743.71,2020-11-07
ACC00280,CUST0167,checking,AZN,68328.15,2022-08-14
ACC00281,CUST0168,checking,USD,38447.71,2020-01-09
ACC00282,CUST0168,savings,AZN,97494.81,2021-06-18
ACC00283,CUST0169,checking,EUR,60160.24,2021-09-05
ACC00284,CUST0169,checking,USD,333.59,2024-12-07
ACC00285,CUST0170,checking,AZN,69515.85,2015-03-22
ACC00286,CUST0170,savings,EUR,53039.05,2014-06-21
ACC00287,CUST0171,savings,AZN,64808.03,2024-04-18
ACC00288,CUST0172,savings,USD,19020.1,2002-12-13
ACC00289,CUST0172,checking,EUR,20534.72,1998-05-08
ACC00290,CUST0173,checking,AZN,78704.08,2016-05-13
ACC00291,CUST0174,savings,AZN,90541.41,2014-12-05
ACC00292,CUST0175,savings,AZN,59295.65,2011-12-30
ACC00293,CUST0176,savings,AZN,1743.09,2015-12-04
ACC00294,CUST0176,checking,AZN,21716.92,2012-09-08
ACC00295,CUST0177,savings,USD,56789.2,2024-07-28
ACC00296,CUST0177,checking,EUR,50651.14,2024-10-28
ACC00297,CUST0178,checking,AZN,77173.22,2022-09-11
ACC00298,CUST0178,savings,AZN,48882.96,2017-02-19
ACC00299,CUST0179,checking,AZN,14205.91,2021-10-13
ACC00300,CUST0180,checking,EUR,10195.77,2024-07-03
ACC00301,CUST0180,savings,AZN,70225.79,2007-11-23
ACC00302,CUST0180,checking,AZN,62683.17,2018-01-29
ACC00303,CUST0181,checking,AZN,89449.1,1993-03-09
ACC00304,CUST0181,savings,USD,94283.81,2015-01-29
ACC00305,CUST0182,savings,USD,46441.0,2009-09-15
ACC00306,CUST0183,savings,AZN,88282.75,2015-09-21
ACC00307,CUST0183,savings,AZN,89061.22,2023-04-02
ACC00308,CUST0184,savings,AZN,79476.18,2019-11-09
ACC00309,CUST0185,savings,AZN,95742.5,2014-03-03
ACC00310,CUST0186,savings,AZN,91226.27,2025-09-10
ACC00311,CUST0186,checking,USD,48378.05,2023-02-01
ACC00312,CUST0186,checking,EUR,4850.04,2025-02-24
ACC00313,CUST0187,checking,AZN,95728.85,2021-01-19
ACC00314,CUST0187,savings,EUR,56397.34,1999-05-03
ACC00315,CUST0188,savings,USD,15094.22,1999-06-18
ACC00316,CUST0189,savings,EUR,53916.29,2021-02-19
ACC00317,CUST0189,savings,AZN,4801.08,2009-12-06
ACC00318,CUST0189,savings,USD,26947.28,2024-03-26
ACC00319,CUST0190,savings,AZN,25601.29,1999-10-19
ACC00320,CUST0190,savings,USD,27306.64,2015-02-24
ACC00321,CUST0191,savings,AZN,20333.53,2021-09-06
ACC00322,CUST0191,checking,AZN,63876.95,2024-03-01
ACC00323,CUST0192,checking,AZN,20464.55,2023-05-20
ACC00324,CUST0192,savings,AZN,88330.39,2010-03-12
ACC00325,CUST0193,savings,AZN,15419.76,2012-07-30
ACC00326,CUST0194,savings,AZN,81081.89,2012-11-25
ACC00327,CUST0194,savings,AZN,49181.42,2016-11-18
ACC00328,CUST0195,checking,AZN,78500.16,2009-03-21
ACC00329,CUST0196,savings,EUR,59247.28,2009-06-21
ACC00330,CUST0196,savings,AZN,10515.94,2024-08-17
ACC00331,CUST0197,checking,AZN,59047.09,2008-05-01
ACC00332,CUST0198,checking,AZN,31367.37,1998-09-30
ACC00333,CUST0198,savings,AZN,35770.89,1991-01-29
ACC00334,CUST0199,checking,AZN,41198.43,2024-01-10
ACC00335,CUST0200,checking,AZN,54334.62,1998-04-18
ACC00336,CUST0200,savings,USD,81326.63,2004-09-03
ACC00337,CUST0201,savings,AZN,60120.77,2025-03-26
ACC00338,CUST0201,savings,AZN,47839.61,2024-09-06
ACC00339,CUST0202,checking,AZN,89579.63,2018-08-08
ACC00340,CUST0202,checking,AZN,43012.77,2021-05-13
ACC00341,CUST0203,savings,AZN,94014.67,2025-01-19
ACC00342,CUST0203,checking,AZN,27695.65,2006-01-09
ACC00343,CUST0203,savings,AZN,20016.78,1997-08-14
ACC00344,CUST0204,checking,AZN,80003.21,1981-05-19
ACC00345,CUST0205,checking,AZN,37113.71,2012-05-09
ACC00346,CUST0206,savings,AZN,9373.0,2023-03-28
ACC00347,CUST0207,checking,USD,9904.74,2019-09-25
ACC00348,CUST0208,savings,EUR,83079.43,2025-10-30
ACC00349,CUST0209,savings,AZN,8892.34,2025-05-06
ACC00350,CUST0209,checking,AZN,85317.69,2023-06-17
ACC00351,CUST0210,savings,AZN,8035.93,1984-06-21
ACC00352,CUST0210,savings,AZN,56018.62,1984-07-11
ACC00353,CUST0211,checking,AZN,86968.0,2012-05-19
ACC00354,CUST0211,checking,AZN,3798.78,2014-10-12
ACC00355,CUST0212,checking,AZN,22259.24,2020-01-10
ACC00356,CUST0212,savings,AZN,6654.05,2000-12-20
ACC00357,CUST0212,savings,AZN,9346.59,2005-11-23
ACC00358,CUST0213,checking,AZN,12272.74,2025-09-04
ACC00359,CUST0213,checking,AZN,14753.16,2017-01-29
ACC00360,CUST0214,checking,AZN,33947.8,2021-09-22
ACC00361,CUST0214,checking,AZN,20003.13,2020-06-12
ACC00362,CUST0214,checking,AZN,73762.09,2005-08-01
ACC00363,CUST0215,checking,AZN,48012.06,2013-06-28
ACC00364,CUST0216,savings,AZN,19976.85,2020-01-24
ACC00365,CUST0217,checking,AZN,77754.71,2001-11-05
ACC00366,CUST0217,savings,AZN,103.73,2019-02-06
ACC00367,CUST0217,checking,USD,95964.27,1996-03-01
ACC00368,CUST0218,savings,AZN,89313.38,2001-01-03
ACC00369,CUST0219,savings,USD,10623.51,2000-09-19
ACC00370,CUST0219,savings,AZN,4519.16,1993-08-16
ACC00371,CUST0220,checking,AZN,49874.24,2024-01-22
ACC00372,CUST0221,checking,AZN,35726.98,2022-01-19
ACC00373,CUST0221,savings,AZN,74080.99,2007-03-30
ACC00374,CUST0222,checking,AZN,78824.92,2016-05-20
ACC00375,CUST0222,savings,AZN,81061.37,2022-05-25
ACC00376,CUST0222,checking,EUR,66972.1,2019-12-21
ACC00377,CUST0223,savings,AZN,18498.99,2015-05-28
ACC00378,CUST0224,savings,USD,51527.4,2023-06-12
ACC00379,CUST0225,savings,USD,29442.89,1983-04-27
ACC00380,CUST0225,savings,EUR,9332.81,2008-02-15
ACC00381,CUST0226,checking,USD,7263.74,2021-12-31
ACC00382,CUST0226,savings,AZN,40141.07,2007-08-19
ACC00383,CUST0227,savings,AZN,11239.56,2011-10-30
ACC00384,CUST0227,savings,AZN,45420.43,2006-05-30
ACC00385,CUST0228,savings,AZN,7657.4,2025-06-05
ACC00386,CUST0228,checking,AZN,56536.3,2024-05-23
ACC00387,CUST0229,checking,AZN,38682.68,2017-09-16
ACC00388,CUST0229,savings,AZN,90149.25,2011-06-15
ACC00389,CUST0230,savings,AZN,35995.39,2001-10-06
ACC00390,CUST0231,checking,USD,72388.9,2016-11-28
ACC00391,CUST0231,savings,AZN,47946.97,2022-05-01
ACC00392,CUST0231,savings,AZN,71281.09,2023-11-26
ACC00393,CUST0232,checking,AZN,78444.33,2004-03-10
ACC00394,CUST0232,savings,AZN,47878.15,2015-11-26
ACC00395,CUST0233,savings,AZN,76846.44,2017-08-04
ACC00396,CUST0233,savings,AZN,66488.49,2019-12-02
ACC00397,CUST0234,savings,AZN,12879.62,1988-12-26
ACC00398,CUST0234,checking,AZN,49749.15,1998-02-08
ACC00399,CUST0235,savings,USD,631.17,2007-09-14
ACC00400,CUST0235,savings,AZN,45075.86,2008-01-07
ACC00401,CUST0236,savings,AZN,8483.93,2010-05-19
ACC00402,CUST0236,savings,AZN,8519.52,2025-06-24
ACC00403,CUST0237,checking,EUR,40373.16,1998-07-19
ACC00404,CUST0238,checking,AZN,17997.61,2023-11-07
ACC00405,CUST0239,checking,AZN,40393.32,2016-10-19
ACC00406,CUST0239,checking,AZN,75124.92,2022-10-20
ACC00407,CUST0239,checking,AZN,91691.14,2024-01-14
ACC00408,CUST0240,checking,USD,94304.02,2017-12-10
ACC00409,CUST0240,checking,USD,47423.14,2010-01-20
ACC00410,CUST0241,checking,AZN,90292.62,2006-10-23
ACC00411,CUST0241,savings,USD,72380.68,2007-06-01
ACC00412,CUST0242,savings,AZN,61681.29,1985-03-09
ACC00413,CUST0242,savings,AZN,49382.91,2012-09-07
ACC00414,CUST0242,savings,AZN,97248.27,1985-04-02
ACC00415,CUST0243,savings,EUR,88923.7,2023-03-18
ACC00416,CUST0244,savings,AZN,56077.72,2023-12-09
ACC00417,CUST0244,savings,EUR,53695.65,2012-10-13
ACC00418,CUST0245,checking,USD,12867.28,2023-05-03
ACC00419,CUST0245,checking,AZN,4584.17,1999-03-24
ACC00420,CUST0245,checking,EUR,17923.89,2014-11-21
ACC00421,CUST0246,checking,AZN,70808.65,2024-03-02
ACC00422,CUST0246,checking,AZN,33625.51,2023-06-13
ACC00423,CUST0246,savings,USD,7078.72,2007-12-24
ACC00424,CUST0247,checking,AZN,12570.18,2006-10-18
ACC00425,CUST0247,savings,AZN,11193.17,2021-09-09
ACC00426,CUST0248,checking,AZN,71161.17,2014-11-08
ACC00427,CUST0248,checking,AZN,49273.71,1998-11-10
ACC00428,CUST0248,checking,AZN,70563.12,1998-07-14
ACC00429,CUST0249,checking,EUR,7796.46,2021-02-25
ACC00430,CUST0249,checking,USD,31543.28,2024-10-30
ACC00431,CUST0249,savings,USD,43494.31,2019-08-29
ACC00432,CUST0250,savings,AZN,24585.11,2008-03-11
ACC00433,CUST0251,checking,AZN,54095.64,2021-05-10
ACC00434,CUST0251,savings,AZN,7840.43,2020-10-07
ACC00435,CUST0252,checking,AZN,88704.66,2023-05-06
ACC00436,CUST0252,savings,USD,51534.24,1997-11-12
ACC00437,CUST0253,checking,AZN,1350.75,2022-10-29
ACC00438,CUST0254,checking,AZN,24075.25,2015-03-13
ACC00439,CUST0254,savings,EUR,55676.83,2017-11-10
ACC00440,CUST0255,savings,AZN,16473.89,2020-11-18
ACC00441,CUST0256,savings,AZN,49232.43,2017-05-07
ACC00442,CUST0256,savings,AZN,22703.01,2023-12-22
ACC00443,CUST0257,savings,AZN,56825.58,1986-09-07
ACC00444,CUST0257,checking,AZN,13735.36,1985-07-13
ACC00445,CUST0258,checking,AZN,29791.32,2018-04-22
ACC00446,CUST0258,savings,AZN,94278.86,2010-07-15
ACC00447,CUST0259,savings,AZN,57092.85,1986-12-17
ACC00448,CUST0259,checking,AZN,10327.95,2024-07-01
ACC00449,CUST0260,savings,AZN,79700.18,1988-04-09
ACC00450,CUST0260,savings,AZN,29062.09,1985-02-16
ACC00451,CUST0260,savings,AZN,32029.74,2015-07-22
ACC00452,CUST0261,savings,AZN,16414.25,1991-06-28
ACC00453,CUST0261,savings,AZN,54451.4,2011-12-28
